Name,Specialty,City,Clinic,Phone,Fee,Rating
Hassan Maalouf,Pediatrics,Tripoli,Keserwan Medical Center,+9613818898,1742,3.7
Hassan Bou Khalil,Dermatology,Baalbek,Rafic Hariri Hospital,+9616311345,1904,4.0
Nour Abou Jaoude,Pulmonology,Batroun,Bellevue Medical Center,+9616920780,232,3.8
Samir Awad,Pulmonology,Aley,Bellevue Medical Center,+9616438469,1812,3.1
Rana Mansour,ENT,Saida,LAU Medical Center,+9616583541,1076,3.1
Nour Maalouf,Pediatrics,Jounieh,Keserwan Medical Center,+9614988717,1693,4.5
Nour Nassar,Gastroenterology,Baabda,Keserwan Medical Center,+9613276645,277,4.6
Jad Mansour,Urology,Batroun,Bellevue Medical Center,+9617097855,194,4.6
Nour Haddad,Pulmonology,Aley,AUB Medical Center,+9616466223,1877,4.3
Tala Bou Khalil,Gastroenterology,Zahle,LAU Medical Center,+9614179200,1298,3.7
Maya Abou Jaoude,Neurosurgery,Nabatieh,Saint George Hospital,+9618020593,1242,3.5
Maya Zein,Urology,Byblos,Rafic Hariri Hospital,+9616641448,1886,4.0
Karim Mansour,Ophthalmology,Byblos,Saint George Hospital,+9614923478,1135,3.4
Karim Zein,Urology,Nabatieh,Najjar Hospital,+9614156784,1967,3.4
Layla Maalouf,ENT,Tyre,Mount Lebanon Hospital,+9616873677,856,3.2
